,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
1317,37,TE RED.GALV. 1.1/4 X 3/4 - TUPY PC (3251),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 35,06",0.1%,3048,22/09/2016,25/11/2017,Crítico,12.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
966,3,POL-OXIDO DE ALUMINIO HSG 220 KG (12423),CONS - ACESS - POLIMENTO,AGAPOL,4,"R$ 45,58",4.2%,2471,29/03/2019,25/06/2019,Crítico,12.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
832,6,MAN.RETO 160MM 35 KGF/CM2 X 500 PSI CX.CARB.R1/2 BSP LATAO - FAMABRAS PC (4319),INDI - MEDICAO - PRESSAO,FAMABRAS,2,"R$ 285,15",4.6%,2406,23/09/2019,29/08/2019,Crítico,12.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1494,6,VALV.ESF.TRIP.CF8M F150 1.1/4 SI PP TP - MGA PC (4669),VALV - ESFERA - CF8,MGA,5,"R$ 1.256,96",4.0%,2490,21/06/2019,06/06/2019,Crítico,12.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
510,8,ESPIGAO INOX 304 4 BSP PC (15898),CONX - INOX - ROSCAVEL,IMPORTADO,12,"R$ 4.141,29",16.5%,687,03/05/2023,13/05/2024,Alto,12.7%,A (70% do valor),Campanha comercial agressiva
378,6,CURVA 45 PVC IRRIGA PN80  75MM C.I. PC (950),CONX - PVC - IRRIGACAO,DIV.,3,"R$ 40,41",9.6%,1671,02/09/2021,02/09/2021,Crítico,12.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
5,3,ABRAC. TIPO TUCHO 74 - 79 PC (13231),FIXA - ACESS - ABRACADEIRAS,SUPERA,7,"R$ 87,50",4.9%,2336,23/10/2019,07/11/2019,Crítico,12.7%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1553,5,VALV.GLOBO PASS.RETA P/VAPOR ANSI 150# 6 PC (570),VALV - GLOBO - WCB,VASTIN,1,"R$ 6.938,76",9.0%,1742,27/07/2021,23/06/2021,Crítico,12.7%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
892,7,PARAF SEXT INOX 304 UNC 3/8 X 3/4 PC (11865),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,8,"R$ 19,12",1.0%,2888,21/01/2025,04/05/2018,Crítico,12.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
393,18,CURVA 90 PVC SOLDAVEL  25MM PC (5457),CONX - PVC - PREDIAL,CARDINALI,2,"R$ 1,94",0.1%,3023,15/12/2016,20/12/2017,Crítico,12.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1557,6,VALV.GLOBO PASS.RETA P/VAPOR ANSI 300# 2.1/2 PC (1457),VALV - GLOBO - WCB,VASTIN,3,"R$ 8.362,24",10.9%,1462,23/05/2023,30/03/2022,Crítico,12.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
46,9,ANEL DE BORRACHA HL 100MM PC (3854),CONX - PVC - ACESSORIOS,JCM,8,"R$ 35,98",0.9%,2896,15/12/2016,26/04/2018,Crítico,12.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1567,7,VALV.GLOBO WCB ANSI 150 8 - IMP PC (5810),VALV - GLOBO - WCB,IMPORTADO,2,"R$ 14.007,48",18.2%,405,06/02/2025,19/02/2025,Obsoleto,12.6%,A (70% do valor),Promover com desconto controlado
532,13,FLANGE A/C CEGO RF ANSI B16.5 CL.150LBS ASTM A-105 14 PC (4183),CONX - CARBONO - FLANGES,GIDEOLI,2,"R$ 1.394,25",2.4%,2680,07/12/2018,28/11/2018,Crítico,12.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1329,38,TE RED.PRETO 300# 1.1/4 X 3/4 - TUPY PC (3747),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 37,94",0.2%,2993,22/09/2016,19/01/2018,Crítico,12.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
420,12,"CURVA INOX 304 90GR OD 152,40MM - 6 X 2,00MM - PIPE - I.D.PS PC (13066)",CONX - INOX - SANITARIO,IMP.GIDEOLI,33,"R$ 5.119,46",15.1%,832,14/03/2022,20/12/2023,Crítico,12.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1180,3,"SERR-TAMPAO INOX 304 RETA 19,05MM(3/4) PC (11690)",CONX - INOX - SERRALHERIA,AM SILVA,26,"R$ 57,30",17.7%,445,08/03/2018,10/01/2025,Obsoleto,12.5%,C (10% do valor),Promover com desconto controlado
401,20,CURVA A/C 45 SCH 40 S/C ASTM A234 WPB  5 PC (969),CONX - CARBONO - SOLDA TOPO,IMPORTADO,10,"R$ 375,67",0.9%,2846,19/02/2018,15/06/2018,Crítico,12.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1409,4,"TUBO ZINCADO 1.1/2 #14 MET (38,10x1,95x6000mm) - 10,43kg/br KG (9166)",TUBO - CARBONO - INDUSTRIAL,DIV.,10,"R$ 47,50",9.1%,1670,04/07/2018,03/09/2021,Crítico,12.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
704,12,INC-SINAL.FOTOL.ROTA DE FUGA ADIANTE PC (6292),INCN - ACESSORIOS - SINALIZACAO,ALIEX,17,"R$ 52,29",2.9%,2556,17/09/2016,01/04/2019,Crítico,12.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1474,4,VALV.ESF.MB BRONZE 1552 1/2 - DECA PC (2960),VALV - ESFERA - BRONZE,DECA,1,"R$ 4,93",5.6%,2162,10/10/2016,29/04/2020,Crítico,12.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1572,8,VALV.PASS.ANGULAR WCB P/AMONIA SOLDA 1 3050MF-25 PC (15874),VALV - GLOBO - REFRIGERACAO,VALVUGAS,4,"R$ 2.322,58",14.8%,818,08/03/2024,03/01/2024,Crítico,12.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1059,6,PURGADOR TERMOSTATICO BP 40 3/4 BSP PC (793),INDI - ACESSORIOS - PURGADORES,SF.BRASIL,1,"R$ 54,42",1.6%,2720,27/10/2016,19/10/2018,Crítico,12.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
333,9,COTOVELO INOX 316 90GR 150LBS ROSCA BSP  3/4 PC (1135),CONX - INOX - ROSCAVEL,IMPORTADO,3,"R$ 20,01",0.1%,2933,25/10/2016,20/03/2018,Crítico,12.3%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
661,3,INC-ABRIGO EMBUTIR P/MANG. 75X45X17CM - HERM PC (9777),INCN - HIDRAULICA - ABRIGO,HERM,9,"R$ 1.023,76",15.6%,700,22/08/2019,30/04/2024,Alto,12.3%,A (70% do valor),Campanha comercial agressiva
1166,7,REDUCAO PVC IRRIGA 100 X 50MM C.I. PC (9628),CONX - PVC - IRRIGACAO,DIV.,3,"R$ 37,17",8.8%,1671,05/11/2021,02/09/2021,Crítico,12.3%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
3,4,ABRAC. TIPO GOTA ECONOMICA ZINC.  1.1/4 PC (13169),FIXA - ACESS - ABRACADEIRAS,SUPERA,100,"R$ 119,96",6.7%,1966,27/04/2021,11/11/2020,Crítico,12.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
785,39,LUVA PRETA CL 150# 1.1/2 NPT PC (7748),CONX - FERRO MALEAVEL - TUPY,TUPY,5,"R$ 30,80",0.1%,2913,22/09/2016,09/04/2018,Crítico,12.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
48,10,ANEL DE BORRACHA IRRIGA 150MM C.I. PC (3524),CONX - PVC - ACESSORIOS,JCM,12,"R$ 178,31",4.5%,2286,08/09/2021,27/12/2019,Crítico,12.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1615,18,VALV.SOLEN.DANFOSS EV220B 10BD 1/2 SO/NF 110V PC (13273),VALV - CONTROLE - SOLENOIDE,DANFOSS,4,"R$ 1.642,76",5.6%,2115,21/11/2019,15/06/2020,Crítico,12.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1430,40,UNIAO GALV. ASS.BRONZE CL 300# 1.1/2 NPT PC (2071),CONX - FERRO MALEAVEL - TUPY,TUPY,7,"R$ 1.664,21",7.0%,1917,01/03/2022,30/12/2020,Crítico,12.2%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
392,41,CURVA 90 GALV. MACHO FEMEA 1.1/4 - TUPY PC (3189),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 23,02",0.1%,2897,22/09/2016,25/04/2018,Crítico,12.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1270,13,TE INOX 304/L OD SOLDA RED. 6'' X  4 PIPE - I.D. PC (13101),CONX - INOX - SANITARIO,IMP.GIDEOLI,8,"R$ 1.586,96",4.7%,2237,16/01/2020,14/02/2020,Crítico,12.1%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1460,4,"VALV.BORB.INOX SANIT.304  31,75MM (1.1/4) SOLDA/SILICONE/ALAV.CATRACA - I.D. PC (15763)",VALV - BORB - SANIT,IMP.GIDEOLI,9,"R$ 806,67",16.9%,469,14/08/2023,17/12/2024,Obsoleto,12.1%,B (20% do valor),Promover com desconto controlado
662,4,INC-ABRIGO EMBUTIR P/MANG. 75X45X17CM - SFO PC (5954),INCN - HIDRAULICA - ABRIGO,SFO,4,"R$ 533,82",8.1%,1723,21/12/2021,12/07/2021,Crítico,12.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1600,8,VALV.RET.T/DISCO WAFER INOX 316 PN40  3/4 - I.D. PC (13136),VALV - RETENCAO - INOX,IMP.GIDEOLI,31,"R$ 983,20",8.8%,1622,16/01/2020,21/10/2021,Crítico,12.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1381,3,"TUBO INOX 316L C/C SCH 10  4 (114,30 X 3,05 X 6000MM) - IMP MT (7533)",TUBO - INOX - SCHEDULE,APERAM,18,"R$ 5.592,05",15.1%,719,11/05/2024,11/04/2024,Alto,12.1%,B (20% do valor),Campanha comercial agressiva
646,3,"GAXETA FIBRA CERAMICA LGT 6350 19,05mm (3/4) KG (11108)",INDI - VEDACAO - GAXETAS,DIV.,3,"R$ 313,43",16.3%,545,15/05/2024,02/10/2024,Alto,12.0%,B (20% do valor),Campanha comercial agressiva
404,21,CURVA A/C 45 SCH 40 S/C ASTM A234 WPB 14 I.D. PC (12614),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,6,"R$ 2.717,21",6.7%,1912,08/07/2021,04/01/2021,Crítico,12.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
199,10,BUJAO INOX 316/L 150# 2.1/2 BSP PC (6707),CONX - INOX - ROSCAVEL,IMPORTADO,2,"R$ 75,20",0.3%,2831,25/10/2016,30/06/2018,Crítico,12.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
165,42,BUCHA RED.GALV. CL 150#  1/2' X 3/8 NPT PC (3541),CONX - FERRO MALEAVEL - TUPY,TUPY,9,"R$ 10,42",0.0%,2862,22/09/2016,30/05/2018,Crítico,12.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1520,4,VALV.GAVETA 1.1/2 BRONZE 1510.HD DECA PC (2969),VALV - GAVETA - BRONZE,DECA,1,"R$ 20,61",0.7%,2766,10/10/2016,03/09/2018,Crítico,12.0%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1490,7,VALV.ESF.TRIP.CF8 S1000 1.1/2 TI PP TR BSP - MIPEL PC (6455),VALV - ESFERA - CF8,MIPEL,1,"R$ 134,18",0.4%,2799,13/11/2017,01/08/2018,Crítico,11.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1380,4,"TUBO INOX 304 C/C SCH 40  2 (60,30 X 3,91 X 6000MM) Imp MT (7582)",TUBO - INOX - SCHEDULE,APERAM,48,"R$ 6.088,74",16.4%,481,20/12/2024,05/12/2024,Obsoleto,11.9%,A (70% do valor),Promover com desconto controlado
1287,11,TE INOX ROSCA 304 150# 1.1/2 BSP PC (9945),CONX - INOX - ROSCAVEL,IMPORTADO,2,"R$ 52,53",0.2%,2810,06/08/2021,21/07/2018,Crítico,11.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1521,5,VALV.GAVETA 1.1/2 BRONZE FIG 3220 - GENEBRE PC (1550),VALV - GAVETA - BRONZE,GE,1,"R$ 21,83",0.7%,2734,10/10/2016,05/10/2018,Crítico,11.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
369,7,CRUZETA GALV. 4 - IMP PC (7147),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,7,"R$ 1.584,56",13.5%,897,21/05/2021,16/10/2023,Crítico,11.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1486,8,VALV.ESF.TRIP.CF8 S1000 1 TI PP TP BSP - MIPEL PC (6458),VALV - ESFERA - CF8,MIPEL,1,"R$ 79,91",0.2%,2798,27/02/2018,02/08/2018,Crítico,11.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
235,19,CAP PVC SOLDAVEL 110MM PC (2412),CONX - PVC - PREDIAL,AMANCO,12,"R$ 110,82",4.6%,2161,17/08/2020,30/04/2020,Crítico,11.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
778,43,LUVA GALV. MF 1 - TUPY PC (4723),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 18,69",0.1%,2808,22/09/2016,23/07/2018,Crítico,11.8%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
564,14,FLANGE A/C LISO RF ANSI B16.5 CL.300LBS ASTM A-105  1.1/4 PC (1055),CONX - CARBONO - FLANGES,GIDEOLI,2,"R$ 28,14",0.1%,2806,22/09/2016,25/07/2018,Crítico,11.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
552,15,FLANGE A/C LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS ASTM A-105  1.1/4 PC (751),CONX - CARBONO - FLANGES,GIDEOLI,21,"R$ 242,66",0.4%,2747,16/06/2018,22/09/2018,Crítico,11.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
764,8,LUVA DE CORRER PVC COLETOR 250MM PC (5749),CONX - PVC - INFRA,FORT CONEXOES,1,"R$ 37,88",2.2%,2477,13/03/2017,19/06/2019,Crítico,11.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
848,4,"MOTOBOMBA FES4A T 3,0 CV R-105 AL 220/380/440V 60HZ IP21 GCB STD PC (12191)",INCN - HIDRAULICA - MOTOBOMBAS,FAMAC,1,"R$ 2.236,01",16.1%,482,03/09/2021,04/12/2024,Obsoleto,11.7%,B (20% do valor),Promover com desconto controlado
1516,6,VALV.GAVETA  3/4 BRONZE 1502 - DECA PC (875),VALV - GAVETA - BRONZE,DECA,1,"R$ 6,42",0.2%,2766,10/10/2016,03/09/2018,Crítico,11.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
324,12,COTOVELO INOX 304 45GR 150LBS ROSCA BSP  3/4 PC (1578),CONX - INOX - ROSCAVEL,IMPORTADO,14,"R$ 122,08",0.5%,2722,05/02/2019,17/10/2018,Crítico,11.7%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
863,44,NIPLE DUPLO PRETO 300# 2 NPT PC (3632),CONX - FERRO MALEAVEL - TUPY,TUPY,4,"R$ 60,09",0.2%,2751,22/09/2016,18/09/2018,Crítico,11.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
367,45,CRUZETA GALV. 1.1/2 - TUPY PC (4251),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 215,29",0.9%,2651,22/09/2016,27/12/2018,Crítico,11.6%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
81,6,AR-COTOVELO REGULADOR DE FLUXO 08 X 1/2 BSP PC (10663),PNHD - PNEUMATICA - CONEXOES,E-MC,19,"R$ 445,87",14.6%,672,26/02/2021,28/05/2024,Alto,11.6%,A (70% do valor),Campanha comercial agressiva
820,7,MAN.RETO 100MM  07 KGF/CM2 X 100 PSI CX.CARB.R 1/2 NPT LATAO - GIDEOLI PC (6908),INDI - MEDICAO - PRESSAO,FAMABRAS,8,"R$ 960,87",15.4%,561,22/08/2023,16/09/2024,Alto,11.6%,A (70% do valor),Campanha comercial agressiva
816,14,"MACHO INOX 304 SMS  25,40MM-1 PC (10141)",CONX - INOX - SANITARIO,IMPORTADO,6,"R$ 53,32",0.2%,2748,02/08/2017,21/09/2018,Crítico,11.6%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1289,13,TE INOX ROSCA 304 150# 2.1/2 BSP PC (10575),CONX - INOX - ROSCAVEL,IMPORTADO,3,"R$ 269,70",1.1%,2611,25/10/2016,05/02/2019,Crítico,11.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
334,14,COTOVELO INOX 316 90GR 150LBS ROSCA BSP 1 PC (1160),CONX - INOX - ROSCAVEL,IMPORTADO,6,"R$ 109,96",0.4%,2700,10/01/2017,08/11/2018,Crítico,11.5%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
822,8,MAN.RETO 100MM  14 KGF/CM2 X 200 PSI CX.CARB.R1/2 NPT LATAO PC (9807),INDI - MEDICAO - PRESSAO,WOLER,2,"R$ 242,10",3.9%,2199,16/09/2024,23/03/2020,Crítico,11.5%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
125,5,ATUADOR PNEUMATICO DUPLA ACAO DA 160 Q27 F10/F12 Imp. PC (16973),PNHD - PNEUMATICA - ATUADORES,UOMI/AQUAP.,1,"R$ 1.601,24",13.8%,768,22/02/2024,22/02/2024,Crítico,11.5%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
712,13,INC-SINAL.FOTOL.SAIDA EMERG.SETA DIREITA / ESQUERDA PC (7493),INCN - ACESSORIOS - SINALIZACAO,ALIEX,6,"R$ 17,21",1.0%,2603,26/12/2017,13/02/2019,Crítico,11.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
432,16,CURVA INOX 304/L 45GR SOLDA A403 SCH10 10 PC (15806),CONX - INOX - SOLDA TOPO,NACIONAL,5,"R$ 5.279,35",11.5%,1084,14/04/2023,12/04/2023,Crítico,11.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1609,4,VALV.SEGURANCA BRONZE ASS.BRZ COMODORO VS100  1/2 PC (6355),VALV - SEGURANÇA - WCB/INOX/BRONZE,COMODORO/MBX,1,"R$ 844,68",12.2%,965,25/07/2022,09/08/2023,Crítico,11.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
39,11,ANEL DE BORRACHA COLETOR 250MM PC (3649),CONX - PVC - ACESSORIOS,JCM,14,"R$ 69,16",1.7%,2477,15/12/2016,19/06/2019,Crítico,11.4%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1426,46,UNIAO GALV. ASS.BRONZE   3/8 - TUPY PC (2672),CONX - FERRO MALEAVEL - TUPY,TUPY,28,"R$ 498,54",2.1%,2422,08/08/2019,13/08/2019,Crítico,11.4%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
56,12,ANEL DE BORRACHA PBA 125/140MM PC (2088),CONX - PVC - ACESSORIOS,JCM,16,"R$ 48,16",1.2%,2549,15/12/2016,08/04/2019,Crítico,11.4%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1295,47,TE PRETO CL 150# 2 NPT PC (582),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 405,21",1.7%,2467,08/08/2019,29/06/2019,Crítico,11.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
726,5,JUNTA EXP.BORR.EPDM DUPLA ROSCA BSP GALV. 3 PC (17026),ACESS - JUNTAS - EXPANSAO,MECH,4,"R$ 1.135,94",14.5%,620,22/08/2024,19/07/2024,Alto,11.3%,A (70% do valor),Campanha comercial agressiva
956,4,POL-ABRASIVO P/LUSTRAR VERMELHO (BARRA) N3 PC (11798),CONS - ACESS - POLIMENTO,AGAPOL,9,"R$ 108,51",9.9%,1271,26/03/2018,07/10/2022,Crítico,11.3%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
988,3,PORCA SEXT ZINC AUTO TRAV. UNC 3/4 PC (2182),FIXA - PARAFUSOS - PORCAS,BELENUS,100,"R$ 127,11",14.9%,546,13/03/2025,01/10/2024,Alto,11.2%,B (20% do valor),Campanha comercial agressiva
748,4,JUNTA VEDACAO FLANGE PH1002/4340 1/8 RF 150# 16 - VERDE PC (15472),INDI - VEDACAO - JUNTAS,LGT,2,"R$ 357,00",10.1%,1231,10/11/2022,16/11/2022,Crítico,11.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
575,16,FLANGE A/C LISO RF ROSCA BSP DIN PN10 1 PC (4762),CONX - CARBONO - FLANGES,GIDEOLI,10,"R$ 177,81",0.3%,2642,22/07/2020,05/01/2019,Crítico,11.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
277,48,COTOVELO 45 PRETO 300# 1/2 NPT PC (1792),CONX - FERRO MALEAVEL - TUPY,TUPY,8,"R$ 68,02",0.3%,2639,26/10/2016,08/01/2019,Crítico,11.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
796,49,LUVA RED.GALV. 1 X 3/8 - TUPY PC (3582),CONX - FERRO MALEAVEL - TUPY,TUPY,15,"R$ 60,19",0.2%,2642,22/09/2016,05/01/2019,Crítico,11.2%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
20,15,"ABRACADEIRA INOX 304 TC SUPORTE  76,20MM-3 PC (7294)",CONX - INOX - SANITARIO,IMPORTADO,6,"R$ 448,29",1.3%,2482,30/05/2023,14/06/2019,Crítico,11.2%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
154,19,"BOBINA SOLENOIDE SENSE M32 BS-PG/0,5 PN5000007900 PC (13172)",VALV - CONTROLE - SOLENOIDE,SENSE,4,"R$ 1.036,28",3.5%,2147,08/10/2019,14/05/2020,Crítico,11.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
561,17,FLANGE A/C LISO RF ANSI B16.5 CL.150LBS ASTM A-36 14 esp.24mm PC (818),CONX - CARBONO - FLANGES,GIDEOLI,1,"R$ 325,74",0.6%,2579,10/06/2019,09/03/2019,Crítico,11.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
332,15,COTOVELO INOX 316 45GR 150LBS ROSCA BSP 2 PC (4940),CONX - INOX - ROSCAVEL,IMPORTADO,4,"R$ 332,94",1.3%,2461,17/01/2024,05/07/2019,Crítico,11.1%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
654,3,GRAMPO TERRA N1000 PC (9244),CONS - ACESS - MAQUINAS,CARBOGRAFITE,1,"R$ 30,77",13.5%,704,30/05/2023,26/04/2024,Alto,11.1%,B (20% do valor),Campanha comercial agressiva
1445,16,"UNIAO INOX SOLDA SMS 304 101,60MM-4 PC (8619)",CONX - INOX - SANITARIO,IMPORTADO,5,"R$ 792,09",2.3%,2309,05/10/2017,04/12/2019,Crítico,11.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
287,50,COTOVELO 90 PRETO CL 150# 1 NPT PC (2407),CONX - FERRO MALEAVEL - TUPY,TUPY,33,"R$ 224,43",0.9%,2506,14/03/2019,21/05/2019,Crítico,11.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1623,20,VALV.SOLENOIDE DIREC. 5/2 24Vcc NF REXROTH 5727450220 UN (13196),VALV - CONTROLE - SOLENOIDE,REXROTH,1,"R$ 903,93",3.1%,2188,05/03/2021,03/04/2020,Crítico,11.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1495,9,VALV.ESF.TRIP.CF8M F150 2.1/2 SI PR TP - MGA PC (7094),VALV - ESFERA - CF8,MGA,2,"R$ 695,70",2.2%,2313,10/10/2016,30/11/2019,Crítico,11.0%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1429,51,UNIAO GALV. ASS.BRONZE CL 150# 1/2 NPT PC (1408),CONX - FERRO MALEAVEL - TUPY,TUPY,8,"R$ 351,27",1.5%,2414,08/08/2019,21/08/2019,Crítico,11.0%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
884,8,PARAF CAB FLANGEADA 6 X 80 PC (12340),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,199,"R$ 44,83",2.4%,2276,21/01/2019,06/01/2020,Crítico,10.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
512,2,ESTICADOR PARA CABO OLHALXOLHAL DIN 1480 SV GALV. 3/4 X 8.1/2 IMP PC (16072),FERRAMENTAS - ACESS - CABO DE ACO,SIVA,1,"R$ 74,61",11.3%,987,03/07/2023,18/07/2023,Crítico,10.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
33,10,ALAVANCA DRM 9/16 PARA VET 2.1/2 PR PC (1077),VALV - ESFERA - ACESSORIOS,,2,"R$ 211,30",6.8%,1635,10/10/2016,08/10/2021,Crítico,10.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
903,9,PARAF SEXT ZINC UNC 5/8 X 3.1/2 RP PC (2183),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,1,"R$ 1,50",0.1%,2600,25/09/2018,16/02/2019,Crítico,10.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
700,14,INC-SINAL.FOTOL.H PARA HIDRANTE RECALQUE 20X20 CM PC (6783),INCN - ACESSORIOS - SINALIZACAO,ALIEX,3,"R$ 9,44",0.5%,2532,17/09/2016,25/04/2019,Crítico,10.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
784,52,LUVA PRETA CL 150# 1 NPT PC (7737),CONX - FERRO MALEAVEL - TUPY,TUPY,23,"R$ 166,38",0.7%,2506,31/01/2022,21/05/2019,Crítico,10.9%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
1,5,ABRAC. TIPO D ZINC.C/CUNHA 3 PC (12432),FIXA - ACESS - ABRACADEIRAS,INCA,4,"R$ 5,20",0.3%,2562,25/03/2019,26/03/2019,Crítico,10.9%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1269,17,TE INOX 304/L OD SOLDA RED. 4'' X  2.1/2 PIPE - I.D. PC (13099),CONX - INOX - SANITARIO,IMP.GIDEOLI,16,"R$ 847,88",2.5%,2237,16/01/2020,14/02/2020,Crítico,10.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
1267,17,TE INOX 304/L OD SOLDA RED. 4'' X  1.1/2 PIPE - I.D. PC (13100),CONX - INOX - SANITARIO,IMP.GIDEOLI,16,"R$ 847,88",2.5%,2237,16/01/2020,14/02/2020,Crítico,10.8%,A (70% do valor),Liquidação forte / devolução / sucatear / kit
968,5,POL-RODA LIXA 150X50 Gr 36 PC (12084),CONS - ACESS - POLIMENTO,AGAPOL,5,"R$ 143,64",13.1%,694,29/06/2020,06/05/2024,Alto,10.8%,A (70% do valor),Campanha comercial agressiva
1109,22,REDUCAO A/C CONC.SCH160 S/C ASTM A234 WPB 1.1/4 X 1 PC (1304),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 237,50",0.6%,2492,23/05/2019,04/06/2019,Crítico,10.8%,B (20% do valor),Liquidação forte / devolução / sucatear / kit
